"DATE","AMT","DC","FY","DESC","CUSTOMER CODE","CUSTOMER GROUP","LINK","CUSTOMER NAME","Amount (+-)","VTYPE","txn_id","txn_date_iso","voucher_type_norm","signed_amount","due_date_iso","open_amount","collector_owner","risk_tier"
"4/4/2024","41048","D","2024-2025","Default Sales Invoice","100121","Sundry Debtors","SA100001","TechWorld Electronics Chandigarh","-41048","SA","SA100001","2024-04-03T18:30:00.000Z","Sales Invoice","-41048","2024-05-03T18:30:00.000Z","41048","Collections South","Low"
"4/8/2024","18434","D","2024-2025","Default Sales Invoice","100108","Sundry Debtors","SA100002","Poorvika Mobiles Chennai","-18434","SA","SA100002","2024-04-07T18:30:00.000Z","Sales Invoice","-18434","2024-05-07T18:30:00.000Z","18434","Collections North","Low"
"4/24/2024","16395","C","2024-2025","Default Bank Receipt Voucher","100122","Sundry Debtors","BR100003","Gadget Galaxy Coimbatore","16395","BR","BR100003","2024-04-23T18:30:00.000Z","Bank Receipt","16395","","0","Collections West","Low"
"4/14/2024","17280","D","2024-2025","Default Sales Invoice","100119","Sundry Debtors","SA100004","Apex Tech Solutions Noida","-17280","SA","SA100004","2024-04-13T18:30:00.000Z","Sales Invoice","-17280","2024-05-13T18:30:00.000Z","17280","Collections West","Low"
"4/8/2024","5087","C","2024-2025","Default Sales Return Invoice","100107","Sundry Debtors","SR100005","Snapdeal Retail Hub","5087","SR","SR100005","2024-04-07T18:30:00.000Z","SR","5087","","0","Collections West","Low"
"4/7/2024","96924","C","2024-2025","Default Bank Receipt Voucher","100118","Sundry Debtors","BR100006","Future Retail Limited","96924","BR","BR100006","2024-04-06T18:30:00.000Z","Bank Receipt","96924","","0","Collections South","Low"
"4/14/2024","82236","D","2024-2025","Default Sales Invoice","100118","Sundry Debtors","SA100007","Future Retail Limited","-82236","SA","SA100007","2024-04-13T18:30:00.000Z","Sales Invoice","-82236","2024-05-13T18:30:00.000Z","82236","Collections South","Low"
"4/26/2024","25926","C","2024-2025","Default Bank Receipt Voucher","100109","Sundry Debtors","BR100008","Sangeetha Mobiles Bengaluru","25926","BR","BR100008","2024-04-25T18:30:00.000Z","Bank Receipt","25926","","0","Collections South","Low"
"4/14/2024","25379","D","2024-2025","Default Sales Invoice","100123","Sundry Debtors","SA100009","Digital Hub Agra","-25379","SA","SA100009","2024-04-13T18:30:00.000Z","Sales Invoice","-25379","2024-05-13T18:30:00.000Z","25379","Collections North","Low"
"5/1/2024","18396","C","2024-2025","Default Bank Receipt Voucher","100107","Sundry Debtors","BR100010","Snapdeal Retail Hub","18396","BR","BR100010","2024-04-30T18:30:00.000Z","Bank Receipt","18396","","0","Collections West","Low"
"4/12/2024","119999","D","2024-2025","Default Sales Invoice","100102","Sundry Debtors","SA100011","Croma Electronics Pune","-119999","SA","SA100011","2024-04-11T18:30:00.000Z","Sales Invoice","-119999","2024-05-11T18:30:00.000Z","119999","Collections North","Medium"
"4/18/2024","69999","D","2024-2025","Default Sales Invoice","100115","Sundry Debtors","SA100012","Gadgetry Hub Jaipur","-69999","SA","SA100012","2024-04-17T18:30:00.000Z","Sales Invoice","-69999","2024-05-17T18:30:00.000Z","69999","Collections South","Low"
"4/22/2024","52999","C","2024-2025","Default Bank Receipt Voucher","100112","Sundry Debtors","BR100013","TechNexus Gadgets Surat","52999","BR","BR100013","2024-04-21T18:30:00.000Z","Bank Receipt","52999","","0","Collections South","Low"
"4/5/2024","139999","D","2024-2025","Default Sales Invoice","100104","Sundry Debtors","SA100014","Flipkart Sellers Pvt Ltd","-139999","SA","SA100014","2024-04-04T18:30:00.000Z","Sales Invoice","-139999","2024-05-04T18:30:00.000Z","139999","Collections West","Low"
