"Product GROUP CODE","Product Group Name","Product CODE","Product NAME","Rate","product_status","product_group_norm","brand","subcategory","standard_cost","margin_pct","uom"
"SG001","Smartphones","PSM001","Apple iPhone 17 Air","109500","Active","Smartphones","Apple","Flagship Phones","85410","22","Unit"
"SG001","Smartphones","PSM002","Samsung Galaxy S25 Edge","119999","Active","Smartphones","Samsung","Flagship Phones","93599","22","Unit"
"SG001","Smartphones","PSM003","Google Pixel 8 Pro","106999","Active","Smartphones","Google","Flagship Phones","83459","22","Unit"
"SG001","Smartphones","PSM004","OnePlus 12","69999","Active","Smartphones","OnePlus","Flagship Phones","54599","22","Unit"
"HG001","Headphones","PHD001","Sony WH-1000XM6 Headphones","29999","Active","Headphones","Sony","Headphones","23399","22","Unit"
"HG001","Headphones","PHD002","Bose QuietComfort Ultra","32999","Active","Headphones","Bose","Headphones","25739","22","Unit"
"SG002","Speakers","PSK001","JBL Flip 6","8999","Active","Speakers","JBL","Speakers","7019","22","Unit"
"SG002","Speakers","PSK002","Marshall Emberton II","11999","Active","Speakers","Marshall","Speakers","9359","22","Unit"
"SW001","Smartwatches","PSW001","Samsung Galaxy Watch 6","34999","Active","Smartwatches","Samsung","Smartwatches","27299","22","Unit"
"SW001","Smartwatches","PSW002","Apple Watch Series 9","41999","Active","Smartwatches","Apple","Smartwatches","32759","22","Unit"
"SW001","Smartwatches","PSW003","Garmin Forerunner 965","52999","Active","Smartwatches","Garmin","Smartwatches","41339","22","Unit"
"FT001","Fitness Trackers","PFT001","Fitbit Charge 6","14999","Active","Fitness Trackers","Fitbit","Fitness Trackers","11699","22","Unit"
"LG001","Laptops","PLT001","Dell XPS 13 Plus","139999","Active","Laptops","Dell","Laptops","109199","22","Unit"
"LG001","Laptops","PLT002","MacBook Air M3","114999","Active","Laptops","MacBook","Laptops","89699","22","Unit"
"LG001","Laptops","PLT003","HP Spectre x360","124999","Active","Laptops","HP","Laptops","97499","22","Unit"
"LG001","Laptops","PLT004","Asus ROG Zephyrus G14","154999","Active","Laptops","Asus","Laptops","120899","22","Unit"
"PC001","Mice","PMC001","Logitech MX Master 3S","9999","Active","Mice","Logitech","Mice","7799","22","Unit"
"PC001","Mice","PMC002","Apple Magic Mouse","7999","Active","Mice","Apple","Mice","6239","22","Unit"
"KB001","Keyboards","PKB001","Keychron K8 Pro","8999","Active","Keyboards","Keychron","Keyboards","7019","22","Unit"
"KB001","Keyboards","PKB002","Razer BlackWidow V4","14999","Active","Keyboards","Razer","Keyboards","11699","22","Unit"
"PB001","Power Banks","PPB001","Anker PowerCore 10000","2499","Active","Power Banks","Anker","Power Banks","1949","22","Unit"
"ES001","External Storage","PES001","Samsung T7 SSD 1TB","9499","Active","External Storage","Samsung","External Storage","7409","22","Unit"
"ES001","External Storage","PES002","SanDisk Extreme 2TB","18999","Active","External Storage","SanDisk","External Storage","14819","22","Unit"
"ES001","External Storage","PES003","Seagate Backup Plus 5TB","14499","Active","External Storage","Seagate","External Storage","11309","22","Unit"
"SS001","Smart Speakers","PSS001","Amazon Echo Dot 5th Gen","5499","Active","Smart Speakers","Amazon","Smart Speakers","4289","22","Unit"
"SS001","Smart Speakers","PSS002","Google Nest Mini","4499","Active","Smart Speakers","Google","Smart Speakers","3509","22","Unit"
"RT001","Routers","PRT001","TP-Link Archer AX73","9999","Active","Routers","TP-Link","Routers","7799","22","Unit"
"RT001","Routers","PRT002","Eero Pro 6E","24999","Active","Routers","Eero","Routers","19499","22","Unit"
"MN001","Monitors","PMN001","BenQ EX3501R Monitor","52999","Active","Monitors","BenQ","Monitors","41339","22","Unit"
"MN001","Monitors","PMN002","LG UltraGear 27GN950","74999","Active","Monitors","LG","Monitors","58499","22","Unit"
